# C-11 standard atmosphere (Data loaded from a file)
# 285 data points written for 58 variables.
#
# Time (s),Altitude (m),Altitude above sea level (m),Vertical velocity (m/s),Total velocity (m/s),Vertical acceleration (m/s²),Total acceleration (m/s²),Position East of launch (m),Position North of launch (m),Lateral distance (m),Lateral direction (°),Lateral velocity (m/s),Lateral acceleration (m/s²),Latitude (° N),Longitude (° E),Angle of attack (°),Roll rate (°/s),Pitch rate (°/s),Yaw rate (°/s),Vertical orientation (zenith) (°),Lateral orientation (azimuth) (°),Mass (g),Motor mass (g),Longitudinal moment of inertia (kg·m²),Rotational moment of inertia (kg·m²),Gravitational acceleration (m/s²),CP location (cm),CG location (cm),Stability margin calibers (​),Thrust (N),Thrust-to-weight ratio (​),Drag force (N),Drag coefficient (​),Friction drag coefficient (​),Pressure drag coefficient (​),Base drag coefficient (​),Axial drag coefficient (​),Normal force coefficient (​),Pitch moment coefficient (​),Yaw moment coefficient (​),Side force coefficient (​),Roll moment coefficient (​),Roll forcing coefficient (​),Roll damping coefficient (​),Pitch damping coefficient (​),Wind velocity (m/s),Wind direction (°),Air temperature (°C),Air pressure (mbar),Air density (g/cm³),Speed of sound (m/s),Mach number (​),Reynolds number (​),Reference length (cm),Reference area (cm²),Simulation time step (s),Computation time (s),Coriolis acceleration (m/s²)
# Event IGNITION occurred at t=0 seconds
# Event LAUNCH occurred at t=0 seconds
0,0,512,0,0,0,0,0,0,0,0,0,0,33.98,117.38,0,0,0,0,90.01167,0,166,35,0.005,0.00008,9.795,NaN,35.7,NaN,0,0,0,1.069,0.93,0.019,0.12,1.069,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0,0,11.672,953.3,0.00117,338.372,0,0,4.6,20,0.01,0.007,0
0.01,0,512,0,0,0,0,0,0,0,0,0,0,33.98,117.38,0,0,0,0,90.01167,0,166,35,0.005,0.00008,9.795,NaN,35.7,NaN,0.498,0.306,0,1.069,0.93,0.019,0.12,1.069,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0,0,11.672,953.3,0.00117,338.372,0,0,4.6,20,0.01,0.013,0
0.02,0,512,0,0,0,0,0,0,0,0,0,0,33.98,117.38,0,0,0,0,90.01167,0,166,35,0.005,0.00008,9.795,NaN,35.7,NaN,0.995,0.612,0,1.069,0.93,0.019,0.12,1.069,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0,0,11.672,953.3,0.00117,338.372,0,0,4.6,20,0.01,0.017,0
0.03,0,512,0,0,0,0,0,0,0,0,0,0,33.98,117.38,0,0,0,0,90.01167,0,166,35,0.005,0.00008,9.795,NaN,35.7,NaN,1.493,0.918,0,1.069,0.93,0.019,0.12,1.069,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0,0,11.672,953.3,0.00117,338.372,0,0,4.6,20,0.004,0.021,0
0.034,0,512,0.00027,0.00027,0.398,0.398,0,0,0,0,0,0,33.98,117.38,0,0,0,0,90.01167,0,166,35,0.005,0.00008,9.795,NaN,35.7,NaN,1.692,1.041,0,1.082,0.93,0.032,0.12,1.082,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0,0,11.672,953.3,0.00117,338.372,0,10.344,4.6,20,0.006,0.025,0
0.04,0.00002,512,0.01,0.01,2.76,2.76,0,0,0,0,0,0,33.98,117.38,0,0,0,0,90.01167,0,166,35,0.005,0.00008,9.795,NaN,35.7,NaN,2.084,1.282,0,1.473,0.93,0.423,0.12,1.473,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0,0,11.672,953.3,0.00117,338.372,0.00003,379.897,4.6,20,0.009,0.032,0
0.049,0.00027,512,0.051,0.051,6.305,6.305,0,0,0,0,0,0,33.98,117.38,0,0,0,0,90.01167,0,166,35,0.005,0.00008,9.795,NaN,35.7,NaN,2.672,1.644,0,1.326,0.93,0.276,0.12,1.326,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0,0,11.672,953.3,0.00117,338.372,0.00015,1971.154,4.6,20,0.01,0.037,0
0.059,0.001,512.001,0.133,0.133,10.245,10.245,0,0,0,0,0,0,33.98,117.38,0,0,0,0,90.01167,0,166,35,0.005,0.00008,9.795,NaN,35.7,NaN,3.325,2.046,0.00002,1.131,0.93,0.081,0.12,1.131,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0,0,11.672,953.3,0.00117,338.372,0.00039,5199.152,4.6,20,0.007,0.042,0
0.066,0.002,512.002,0.215,0.215,13.004,13.004,0,0,0,0,0,0,33.98,117.38,0,0,0,0,90.01167,0,166,35,0.005,0.00008,9.795,NaN,35.7,NaN,3.782,2.328,0.00005,1.109,0.93,0.059,0.12,1.109,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0,0,11.672,953.3,0.00117,338.372,0.00063,8373.455,4.6,20,0.01,0.048,0
0.076,0.005,512.005,0.373,0.373,18.581,18.581,0,0,0,0,0,0,33.98,117.38,0,0,0,0,90.01167,0,166,35,0.005,0.00008,9.795,NaN,35.7,NaN,4.705,2.897,0.00013,0.982,0.816,0.046,0.12,0.982,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0,0,11.672,953.3,0.00117,338.372,0.001,14530,4.6,20,0.01,0.051,0
0.086,0.01,512.01,0.586,0.586,24.162,24.162,0,0,0,0,0,0,33.98,117.38,0,0,0,0,90.01167,0,166,35,0.005,0.00008,9.795,NaN,35.7,NaN,5.628,3.467,0.00028,0.863,0.703,0.04,0.12,0.863,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0,0,11.672,953.3,0.00117,338.372,0.002,22870,4.6,20,0.01,0.057,0
0.096,0.017,512.017,0.856,0.856,29.748,29.748,0,0,0,0,0,0,33.98,117.38,0,0,0,0,90.01167,0,166,35,0.005,0.00008,9.795,NaN,35.7,NaN,6.551,4.037,0.00055,0.782,0.626,0.036,0.12,0.782,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0,0,11.672,953.3,0.00117,338.372,0.003,33390,4.6,20,0.011,0.062,0
# Event LIFTOFF occurred at t=0.107 seconds
0.107,0.029,512.029,1.217,1.217,35.897,35.897,0,0,0,0,0,0,33.98,117.38,0,0,0,0,90.01167,0,166,35,0.005,0.00008,9.795,NaN,35.7,NaN,7.566,4.665,0.001,0.718,0.565,0.034,0.12,0.718,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0,0,11.672,953.3,0.00117,338.372,0.004,47470,4.6,20,0.01,0.066,0
0.117,0.043,512.043,1.603,1.603,41.304,41.304,0,0,0,0,0,0,33.98,117.38,0,0,0,0,90.01167,0,165,35,0.005,0.00008,9.795,NaN,35.7,NaN,8.455,5.218,0.002,0.675,0.523,0.032,0.12,0.675,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0,0,11.672,953.3,0.00117,338.372,0.005,62530,4.6,20,0.01,0.07,0
0.127,0.061,512.061,2.043,2.043,46.719,46.719,0,0,0,0,0,0,33.98,117.38,0,0,0,0,90.01167,0,165,35,0.005,0.00008,9.795,NaN,35.7,NaN,9.345,5.771,0.003,0.641,0.49,0.031,0.12,0.641,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0,0,11.672,953.3,0.00117,338.372,0.006,79700,4.6,20,0.01,0.086,0
0.137,0.084,512.084,2.537,2.537,52.139,52.139,0,0,0,0,0,0,33.98,117.38,0,0,0,0,90.01167,0,165,34,0.005,0.00008,9.795,NaN,35.6,NaN,10.234,6.325,0.004,0.613,0.463,0.03,0.12,0.613,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0,0,11.671,953.3,0.00117,338.372,0.007,98980,4.6,20,0.008,0.1,0
0.145,0.106,512.106,2.972,2.972,56.48,56.48,0,0,0,0,0,0,33.98,117.38,0,0,0,0,90.01167,0,165,34,0.005,0.00008,9.795,NaN,35.6,NaN,10.946,6.769,0.005,0.594,0.445,0.03,0.12,0.594,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0,0,11.671,953.3,0.00117,338.372,0.009,115900,4.6,20,0.01,0.103,0
0.155,0.138,512.138,3.568,3.568,62.74,62.74,0,0,0,0,0,0,33.98,117.38,0,0,0,0,90.01167,0,165,34,0.005,0.00008,9.795,NaN,35.6,NaN,11.969,7.41,0.007,0.574,0.425,0.029,0.12,0.574,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0,0,11.671,953.3,0.00117,338.372,0.011,139200,4.6,20,0.01,0.106,0
0.165,0.177,512.177,4.227,4.227,69.01,69.01,0,0,0,0,0,0,33.98,117.38,0,0,0,0,90.01167,0,165,34,0.005,0.00008,9.795,NaN,35.6,NaN,12.991,8.051,0.009,0.556,0.407,0.029,0.12,0.556,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0,0,11.671,953.2,0.00117,338.371,0.012,164900,4.6,20,0.01,0.109,0
0.175,0.223,512.223,4.948,4.948,75.289,75.289,0,0,0,0,0,0,33.98,117.38,0,0,0,0,90.01167,0,165,34,0.005,0.00008,9.795,NaN,35.6,NaN,14.014,8.694,0.013,0.541,0.392,0.028,0.12,0.541,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0,0,11.671,953.2,0.00117,338.371,0.015,193000,4.6,20,0.008,0.111,0
0.183,0.265,512.265,5.57,5.57,80.319,80.319,0,0,0,0,0,0,33.98,117.38,0,0,0,0,90.01167,0,164,34,0.005,0.00008,9.795,NaN,35.6,NaN,14.832,9.21,0.016,0.53,0.382,0.028,0.12,0.53,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0,0,11.67,953.2,0.00117,338.371,0.016,217300,4.6,20,0.01,0.113,0
0.193,0.325,512.325,6.402,6.402,85.887,85.887,0,0,0,0,0,0,33.98,117.38,0,0,0,0,90.01167,0,164,33,0.005,0.00008,9.795,NaN,35.5,NaN,15.731,9.781,0.02,0.517,0.37,0.028,0.12,0.517,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0,0,11.67,953.2,0.00117,338.371,0.019,249700,4.6,20,0.01,0.116,0
0.203,0.393,512.393,7.288,7.288,91.464,91.464,0,0,0,0,0,0,33.98,117.38,0,0,0,0,90.01167,0,164,33,0.005,0.00008,9.795,NaN,35.5,NaN,16.629,10.354,0.026,0.506,0.359,0.028,0.12,0.506,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0,0,11.669,953.2,0.00117,338.371,0.022,284300,4.6,20,0.011,0.12,0
0.214,0.479,512.479,8.328,8.328,97.608,97.608,0,0,0,0,0,0,33.98,117.38,0,0,0,0,90.01167,0,164,33,0.005,0.00008,9.795,NaN,35.5,NaN,17.618,10.986,0.033,0.496,0.348,0.027,0.12,0.496,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0,0,11.669,953.2,0.00117,338.37,0.025,324900,4.6,20,0.012,0.125,0
0.226,0.586,512.586,9.522,9.522,101.386,101.386,0,0,0,0,0,0,33.98,117.38,0,0,0,0,90.01167,0,163,33,0.005,0.00008,9.795,NaN,35.4,NaN,18.213,11.377,0.042,0.485,0.338,0.027,0.12,0.485,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0,0,11.668,953.2,0.00117,338.37,0.028,371400,4.6,20,0.01,0.129,0
0.236,0.682,512.682,10.514,10.514,105.22,105.22,0,0,0,0,0,0,33.98,117.38,0,0,0,0,90.01167,0,163,32,0.005,0.00008,9.795,NaN,35.4,NaN,18.819,11.774,0.05,0.478,0.331,0.027,0.12,0.478,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0,0,11.668,953.2,0.00117,338.369,0.031,410100,4.6,20,0.009,0.133,0
0.244,0.778,512.778,11.444,11.444,108.698,108.698,0,0,0,0,0,0,33.98,117.38,0,0,0,0,90.01167,0,163,32,0.005,0.00008,9.795,NaN,35.4,NaN,19.368,12.134,0.059,0.472,0.325,0.027,0.12,0.472,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0,0,11.667,953.2,0.00117,338.369,0.034,446400,4.6,20,0.008,0.137,0
0.252,0.873,512.873,12.326,12.326,111.896,111.896,0,0,0,0,0,0,33.98,117.38,0,0,0,0,90.01167,0,163,32,0.005,0.00008,9.795,NaN,35.4,NaN,19.873,12.466,0.068,0.467,0.32,0.027,0.12,0.467,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0,0,11.666,953.2,0.00117,338.369,0.036,480800,4.6,20,0.004,0.142,0
# Event LAUNCHROD occurred at t=0.256 seconds
0.256,0.919,512.919,12.743,12.743,113.381,113.381,0,0,0,0,0,0,33.98,117.38,0,0,0,0,90.01167,0,163,32,0.005,0.00008,9.795,47.3,35.4,2.609,20.107,12.621,0.072,0.466,0.319,0.027,0.12,0.466,0,-0.00034,0.00011,0,0,0,0,0,0,0,11.666,953.2,0.00117,338.369,0.038,497100,4.6,20,0.006,0.148,0
0.262,0.992,512.992,13.379,13.379,114.963,114.963,0,0,0,0,0,0,33.98,117.38,0,0,0,0,90.01167,0,162,32,0.005,0.00008,9.795,47.3,35.3,2.613,20.352,12.787,0.079,0.466,0.319,0.027,0.12,0.466,0,0.00007,-0.00013,0,0,0,0,0,0,0,11.666,953.2,0.00117,338.368,0.04,521900,4.6,20,0.008,0.155,0
0.27,1.108,513.108,14.348,14.348,117.336,117.336,0,0,0,0,0,0,33.98,117.38,0,0,0,0,90.01167,0,162,32,0.005,0.00008,9.795,47.3,35.3,2.619,20.72,13.037,0.091,0.466,0.319,0.027,0.12,0.466,0,-0.00022,0.00018,0,0,0,0,0,0,0,11.665,953.1,0.00117,338.368,0.042,559700,4.6,20,0.011,0.16,0
0.281,1.274,513.274,15.667,15.667,120.488,120.488,0,0,0,0,0,0,33.98,117.38,0,0,0,0,90.01167,0,162,31,0.005,0.00008,9.795,47.3,35.3,2.627,21.208,13.37,0.109,0.466,0.319,0.027,0.12,0.466,0,-0.00032,0.00049,0,0,0,0,0,0,0,11.664,953.1,0.00117,338.367,0.046,611100,4.6,20,0.017,0.166,0
0.298,1.558,513.558,17.744,17.744,123.932,123.932,0,0,0,0,0,0,33.98,117.38,0,0,0,0,90.01167,0,161,31,0.005,0.00008,9.795,47.3,35.2,2.64,21.73,13.741,0.14,0.466,0.319,0.027,0.12,0.466,0,-0.00014,-0.00044,0,0,0,0,0,0,0,11.662,953.1,0.00117,338.366,0.052,692100,4.6,20,0.008,0.17,0
0.306,1.704,513.704,18.698,18.698,114.573,114.573,0,0,0,0,0,0,33.98,117.38,0,0,0,0,90.01167,0,161,30,0.005,0.00008,9.795,47.3,35.2,2.646,20.206,12.795,0.155,0.466,0.319,0.027,0.12,0.466,0,-0.00035,-0.00014,0,0,0,0,0,0,0,11.661,953.1,0.00117,338.365,0.055,729300,4.6,20,0.012,0.174,0
0.318,1.936,513.936,19.998,19.998,102.016,102.016,0,0,0,0,0,0,33.98,117.38,0,0,0,0,90.01167,0,161,30,0.005,0.00008,9.795,47.3,35.2,2.654,18.17,11.528,0.177,0.466,0.319,0.027,0.12,0.466,0,0.0004,-0.00034,0,0,0,0,0,0,0,11.659,953.1,0.00117,338.365,0.059,780000,4.6,20,0.005,0.178,0
0.323,2.037,514.037,20.495,20.495,96.773,96.773,0,0,0,0,0,0,33.98,117.38,0,0,0,0,90.01167,0,161,30,0.005,0.00008,9.795,47.3,35.1,2.658,17.321,10.998,0.186,0.466,0.319,0.027,0.12,0.466,0,0.00046,0.00032,0,0,0,0,0,0,0,11.659,953,0.00117,338.364,0.061,799400,4.6,20,0.008,0.18,0
0.331,2.194,514.194,21.191,21.191,88.831,88.831,0,0,0,0,0,0,33.98,117.38,0,0,0,0,90.01167,0,161,30,0.005,0.00008,9.795,47.3,35.1,2.662,16.041,10.196,0.199,0.466,0.319,0.027,0.121,0.466,0,0.00029,-0.00045,0,0,0,0,0,0,0,11.658,953,0.00117,338.363,0.063,826500,4.6,20,0.007,0.183,0
0.337,2.333,514.333,21.746,21.746,81.938,81.938,0,0,0,0,0,0,33.98,117.38,0,0,0,0,90.01167,0,160,30,0.004,0.00008,9.795,47.3,35.1,2.666,14.931,9.499,0.21,0.466,0.319,0.027,0.121,0.466,0,-0.00043,-0.00028,0,0,0,0,0,0,0,11.657,953,0.00117,338.363,0.064,848200,4.6,20,0.01,0.184,0
0.347,2.549,514.549,22.521,22.521,77.041,77.041,0,0,0,0,0,0,33.98,117.38,0,0,0,0,90.01167,0,160,30,0.004,0.00008,9.795,47.3,35.1,2.671,14.144,9.009,0.225,0.466,0.319,0.027,0.121,0.466,0,-0.00038,-0.0004,0,0,0,0,0,0,0,11.655,953,0.00117,338.362,0.067,878400,4.6,20,0.011,0.187,0
0.358,2.807,514.807,23.356,23.356,71.379,71.379,0,0,0,0,0,0,33.98,117.38,0,0,0,0,90.01167,0,160,29,0.004,0.00008,9.795,47.3,35.1,2.677,13.236,8.442,0.242,0.466,0.319,0.027,0.121,0.466,0,-0.00031,-0.00017,0,0,0,0,0,0,0,11.654,953,0.00117,338.361,0.069,910900,4.6,20,0.017,0.189,0
0.375,3.211,515.211,24.518,24.518,66.33,66.33,0,0,0,0,0,0,33.98,117.38,0,0,0,0,90.01167,0,160,29,0.004,0.00008,9.795,47.3,35,2.684,12.43,7.942,0.267,0.466,0.319,0.027,0.121,0.466,0,-0.00014,0.00031,0,0,0,0,0,0,0,11.651,952.9,0.00117,338.359,0.072,956200,4.6,20,0.01,0.191,0
0.385,3.463,515.463,25.174,25.174,63.294,63.294,0,0,0,0,0,0,33.98,117.38,0,0,0,0,90.01167,0,160,29,0.004,0.00008,9.795,47.3,35,2.689,11.947,7.642,0.281,0.466,0.319,0.027,0.121,0.466,0,-0.00044,0.00015,0,0,0,0,0,0,0,11.649,952.9,0.00117,338.358,0.074,981800,4.6,20,0.015,0.193,0
0.4,3.852,515.852,26.128,26.128,62.259,62.259,0,0,0,0,0,0,33.98,117.38,0,0,0,0,90.01167,0,159,29,0.004,0.00008,9.795,47.3,35,2.696,11.786,7.55,0.303,0.466,0.319,0.027,0.121,0.466,0,-0.00004,-0.00023,0,0,0,0,0,0,0,11.647,952.8,0.00117,338.357,0.077,1019000,4.6,20,0.013,0.196,0
0.413,4.192,516.192,26.92,26.92,61.381,61.381,0,0,0,0,0,0,33.98,117.38,0,0,0,0,90.01167,0,159,28,0.004,0.00008,9.795,47.3,34.9,2.701,11.65,7.473,0.322,0.466,0.318,0.027,0.121,0.466,0,-0.00013,-0.00039,0,0,0,0,0,0,0,11.645,952.8,0.00117,338.356,0.08,1050000,4.6,20,0.019,0.199,0
0.432,4.721,516.721,28.084,28.084,59.786,59.786,0,0,0,0,0,0,33.98,117.38,0,0,0,0,90.01167,0,159,28,0.004,0.00008,9.795,47.3,34.9,2.709,11.404,7.329,0.35,0.466,0.318,0.027,0.121,0.466,0,-0.00028,0.00019,0,0,0,0,0,0,0,11.641,952.7,0.00117,338.354,0.083,1095000,4.6,20,0.029,0.203,0
0.461,5.555,517.555,29.773,29.773,57.378,57.378,0,0,0,0,0,0,33.98,117.38,0,0,0,0,90.01167,0,158,28,0.004,0.00008,9.795,47.3,34.9,2.722,11.035,7.112,0.393,0.466,0.318,0.027,0.121,0.466,0,-0.00018,-0.0003,0,0,0,0,0,0,0,11.636,952.6,0.00117,338.35,0.088,1161000,4.6,20,0.007,0.205,0
0.468,5.763,517.763,30.17,30.17,56.794,56.794,0,0,0,0,0,0,33.98,117.38,0,0,0,0,90.01167,0,158,28,0.004,0.00008,9.795,47.3,34.8,2.725,10.946,7.059,0.404,0.466,0.318,0.027,0.121,0.466,0,0.00008,0.00024,0,0,0,0,0,0,0,11.635,952.6,0.00117,338.349,0.089,1176000,4.6,20,0.01,0.207,0
0.478,6.081,518.081,30.759,30.759,56.297,56.297,0,0,0,0,0,0,33.98,117.38,0,0,0,0,90.01167,0,158,27,0.004,0.00008,9.795,47.3,34.8,2.729,10.873,7.019,0.42,0.466,0.318,0.027,0.121,0.466,0,-0.00027,0.00047,0,0,0,0,0,0,0,11.632,952.6,0.00117,338.348,0.091,1199000,4.6,20,0.016,0.208,0
0.494,6.569,518.569,31.634,31.634,55.546,55.546,0,0,0,0,0,0,33.98,117.38,0,0,0,0,90.01167,0,158,27,0.004,0.00008,9.795,47.3,34.8,2.735,10.764,6.958,0.444,0.466,0.318,0.027,0.121,0.466,0,-0.00022,0.00032,0,0,0,0,0,0,0,11.629,952.5,0.00117,338.346,0.093,1233000,4.6,20,0.023,0.209,0
0.518,7.327,519.327,32.925,32.925,54.413,54.413,0,0,0,0,0,0.00024,33.98,117.38,0.0001,0,0,0,90.01167,227.00588,158,27,0.004,0.00008,9.795,47.3,34.7,2.745,10.6,6.867,0.481,0.466,0.318,0.027,0.121,0.466,0.00002,0.00041,-0.00011,0,0,0,0,0,0,0,11.624,952.4,0.00117,338.343,0.097,1284000,4.6,20,0.021,0.21,0
0.539,8.046,520.046,34.081,34.081,53.368,53.368,-0,-0,0,250.26796,0.00001,0.00053,33.98,117.38,0.00019,0,0,0,90.01167,230.8447,157,27,0.004,0.00008,9.795,47.3,34.7,2.753,10.45,6.783,0.516,0.466,0.318,0.027,0.121,0.466,0.00004,0.00001,-0.0003,0,0,0,0,0,0,0,11.62,952.4,0.00117,338.34,0.101,1329000,4.6,20,0.032,0.212,0
0.571,9.17,521.17,35.805,35.805,53.721,53.721,-0,-0,0,241.50171,0.00003,0.00082,33.98,117.38,0.00026,0,0,0,90.01167,256.11213,157,26,0.004,0.00008,9.795,47.3,34.7,2.766,10.53,6.855,0.57,0.467,0.318,0.027,0.121,0.467,0.00006,0.00037,0.00016,0,0,0,0,0,0,0,11.612,952.2,0.00117,338.336,0.106,1396000,4.6,20,0.048,0.215,0
0.619,10.944,522.944,38.385,38.385,54.212,54.212,-0,-0,0,254.90892,0.00006,0.00058,33.98,117.38,0.00016,0,0,0,90.01167,309.11073,156,25,0.004,0.00008,9.795,47.3,34.6,2.786,10.648,6.963,0.655,0.467,0.318,0.027,0.122,0.467,0.00004,-0.00028,-0.00039,0,0,0,0,0,0,0,11.601,952,0.00117,338.329,0.113,1496000,4.6,20,0.05,0.216,0
0.669,12.931,524.931,41.088,41.088,53.895,53.895,-0.00001,-0,0.00001,269.86312,0.00008,0.0005,33.98,117.38,0.00012,0,0,0,90.01167,255.02351,155,25,0.004,0.00008,9.795,47.3,34.5,2.807,10.648,6.996,0.751,0.467,0.318,0.027,0.122,0.467,0.00003,-0.0003,0.00041,0,0,0,0,0,0,0,11.588,951.8,0.00117,338.321,0.121,1601000,4.6,20,0.014,0.219,0
0.683,13.511,525.511,41.842,41.842,53.799,53.799,-0.00001,0,0.00001,272.38414,0.00008,0.00092,33.98,117.38,0.00024,0,0,0,90.01167,229.29771,155,24,0.004,0.00008,9.795,47.3,34.4,2.813,10.648,7.005,0.779,0.467,0.318,0.027,0.122,0.467,0.00006,0.00026,0.00009,0,0,0,0,0,0,0,11.584,951.8,0.00116,338.319,0.124,1631000,4.6,20,0.021,0.222,0
0.704,14.402,526.402,42.97,42.97,53.648,53.648,-0.00001,0,0.00001,272.95709,0.00009,0.001,33.98,117.38,0.00036,0,0,0,90.01167,221.3336,155,24,0.004,0.00008,9.795,47.3,34.4,2.821,10.648,7.018,0.821,0.467,0.318,0.027,0.122,0.467,0.00009,0.00002,0.00024,0,0,0,0,0,0,0,11.578,951.7,0.00116,338.315,0.127,1674000,4.6,20,0.011,0.225,0
0.715,14.878,526.878,43.56,43.56,53.566,53.566,-0.00001,0,0.00001,272.09766,0.0001,0.001,33.98,117.38,0.00034,0,0,0,90.01167,221.3336,155,24,0.004,0.00008,9.795,47.3,34.4,2.826,10.648,7.026,0.844,0.468,0.318,0.027,0.122,0.468,0.00008,0.00072,-0.00005,0,0,0,0,0,0,0,11.575,951.6,0.00116,338.314,0.129,1697000,4.6,20,0.011,0.229,0
0.726,15.36,527.36,44.127,44.127,49.637,49.637,-0.00001,0,0.00001,270.60797,0.00011,0.001,33.98,117.38,0.00033,0,0,0,90.01167,221.3336,155,24,0.004,0.00008,9.795,47.3,34.4,2.831,10.053,6.64,0.866,0.468,0.318,0.027,0.122,0.468,0.00008,0.0007,-0.00028,0,0,0,0,0,0,0,11.572,951.6,0.00116,338.312,0.13,1719000,4.6,20,0.014,0.231,0
